day,tx_count,sum_sent,sum_fees
2017-09-16,5073,361621.00655874,0.15361690
2017-09-17,4543,347806.68381442,0.07764331
2017-09-18,5246,542472.81260969,0.02135539
2017-09-19,5855,435592.22866812,0.18767586
2017-09-20,6256,492463.98799821,0.03741281
2017-09-21,5155,381175.32160765,0.21195223
2017-09-22,4565,344188.72858310,0.01181845
2017-09-23,5132,373387.69008496,0.14779449
2017-09-24,5482,382262.21036600,0.03262171
2017-09-25,4744,333537.47330061,0.02994039
2017-09-26,5041,356998.71772785,0.06111098
2017-09-27,4741,331307.02312685,0.23549811
2017-09-28,5279,378468.52560563,0.04804749
2017-09-29,5290,354917.77327863,0.02873275
2017-09-30,4506,352840.54621127,0.03055158
2017-10-01,5667,445735.84489981,0.91553658
