day,circulation_coins,staked_coins
688,686070008135013,317993241965091
689,686734791515593,317167485187645
690,687427255296319,318043481295935
691,688053467627508,318081275820329
692,688681041289847,318689105678681
693,689308161175134,322660375556937
694,689993818300084,323764855565334
695,690688097189018,324449200746436
696,691311133080850,324329172614294
697,691963210703981,325740421251297
698,692585339041705,324777015082396
699,693268273504339,323243907620167
700,693884048963339,323689250257325
701,694482580894381,324835818752201
702,695236032760242,327882470924368
703,695817855812447,327158140923747
704,696396983159390,327077357428512
705,697149084927254,329002511055913
706,697764604295221,331157412058455
707,698458299115752,331360085598777
708,698978570231152,332523837977493
709,699649800841176,333279166575770
710,700336307114352,332421555305222
711,700994508482275,332598485381002
712,701658550544924,332777428419876
713,702304171954953,331286066695870
714,702909357786063,329794751643344
715,703547341364526,331391788949829
716,704246427595571,331045349061599
717,704884411174034,332102495201271
718,705444219299926,331813633311894
719,706194523930932,332367092052571
720,706802854751530,331713436809128
721,707401750603714,331120214485385
722,708091851150555,331460655006166
723,708773519833787,331043808959952
724,709408300593164,331412220757646
725,710061319622432,331285652759705
726,710724569876273,333331512019873
727,711380257920647,333491615512353
728,711949647809927,332535297895727
729,712621349944937,332643950948392
730,713309511006434,332952072234190
731,713922939644963,332195613996930
732,714520354192856,331525111722779
733,715224084509138,332037909324436
734,715849968551495,333378280325550
735,716443379576729,332480714984246
736,717111523024931,333022927679971
737,717792566712812,333345669399743
738,718406885023043,333470513685453
739,719026541363486,332915769420522
740,719663546302118,333683661038963
741,720296992553942,334094246095949
742,720947342568104,334940708000436
743,721534970727275,335144608356057
744,722190213935798,334912792281200
745,722875329412908,334366011379644
746,723484886657898,333806711278498
747,724101050375916,333620803087336
748,724710167189370,333617480751095
749,725332056517353,334847027685409
750,726030580932492,335897895750693
751,726634852999056,335687074528060
752,727236482476407,335330854951631
753,727886118991089,336644818615094
754,728500080551430,336907584541370
755,729103031323386,335635273016945
756,729719635472943,334539123356004
757,730380723207570,336185069288802
758,730984995274131,336783206528725
759,731631548768091,336267521990296
760,732225690909342,335162770212765
761,732906157631529,335742245605170
762,733527166096440,337519803505353
763,734294838262635,337761892753385
764,734962972901832,337972454882873
765,735511750594935,337817529015219
766,736168911512241,337756989785752
767,736813424195431,339198258644226
768,737437005478895,338894782409445
769,738052301416635,338421971766777
770,738658439866993,337481498325538
771,739274607946389,339335483180143
772,739906910646407,338492009963896
773,740559708675319,337786386532340
774,741139682876023,340117171776520
775,741757595238727,339756791149702
776,742378996168055,339260186553782
777,743041387755175,341951923314398
778,743664969038637,342387174046351
779,744245379310163,342523967203445
780,744838435635687,342730150610748
781,745511292922659,342558450384175
782,746167143447355,341359371008502
783,746708743415229,341120892000113
784,747350203602623,339953900482789
785,748002565560709,339833147399154
786,748646642173069,345412171451457
787,749307235507533,346870825998712
788,749794684976908,346225799242105
789,750479445701820,345799194379074
790,751150390321312,345340296433999
791,751758730713116,343421990374971
792,752287196745458,344869373099465
793,753010815266867,345799514191677
794,753571662796290,345662704584343
795,754238289882835,345653884616237
796,754864763913007,347379912188378
797,755466628005396,346399490450568
798,756011500662927,347761391033300
799,756720871325622,349131646979600
800,757214365341117,348666454546185
801,757817956446684,348715440605430
802,758497967885358,349110066504344
803,759143870813776,349849029693436
804,759776821143360,350352249446924
805,760345871985374,349653277174959
806,760973641275423,352552726996445
807,761645449401504,352481652090941
808,762178718154836,352599389030474
809,762886622565066,353495471805915
810,763494497004288,352533415706649
811,764116478234297,352565245134159
812,764679894908629,352974620613468
813,765309998230297,353139844400730
814,765940529030480,354035483699230
815,766581319314865,354420897545711
816,767152430602351,354459900906492
817,767822716903831,356084026042785
818,768428453950514,355823725300254
819,769078221283584,355851785638416
820,769660019533783,356146991720871
821,770281573285285,359430091848828
822,770984775431928,362991336811468
823,771592649871156,362115369108134
824,772160341330570,360802482510422
825,772797284308380,360304431251076
826,773438074592769,358755011888316
827,774049368860063,359601834795756
828,774686311837871,361532237158512
829,775329326280266,362486852464092
830,775942609804104,362213016779771
831,776550814375363,362415225301884
832,777156902716376,364015172459801
833,777742252001032,364299028900063
834,778309824951663,365400695527212
835,779009873915381,367524566369227
836,779636701312754,366770471614044
837,780269877400855,367410234145066
838,780871733281389,367486906774364
839,781480361098692,366355632586425
840,782127081060332,365557951987335
841,782747983013034,366985964794863
842,783330369575350,367740060236232
843,783945769329424,368197830905152
844,784570903742609,368138218493828
845,785254446110445,371059165919032
846,785835139688565,370337533503748
847,786450962688688,369476288592576
848,787007531242071,370326523651936
849,787647902512989,369598615236967
850,788255053159922,369428952239921
851,788915484618146,370627619874426
852,789520600751188,371721974527470
853,790095963944169,372736776072463
854,790694375189309,372208265452850
855,791346844593140,373267793700599
856,791933522284442,374134562727259
857,792529000141129,374000881192558
858,793135373440654,373695736520530
859,793758508959931,374384116432775
860,794425645306053,374858666382053
861,794915102122805,374605663647857
862,795570504915103,376838037619485
863,796175201992654,378940119096695
864,796762717794954,378702227736231
865,797443263916880,378530293231425
866,798024912942268,377602760061675
867,798560884918831,377331306575565
868,799184439493601,378908491974034
869,799813860845279,379752944444621
870,800485187746337,380081812412651
871,801025061917539,383343606449873
872,801682273700439,382910075197007
873,802216673180473,381700074945615
874,802802106151226,379360135495677
875,803429029764837,378545654125623
876,803995791946301,376909297565556
877,804643460881340,376086922704598
878,805223085162091,378334623088092
879,805813497009988,377314844875934
880,806438760997885,384978696789008
881,806964032536489,385474791732622
882,807600913904388,383948706687777
883,808185517062283,384044402247024
884,808769705313745,382593059579876
885,809372564354496,381021553323093
886,809984551336677,380624926619451
887,810611474950290,379279535630978
888,811203961330328,377957199496290
889,811753712348219,378980148030478
890,812387274464684,381594284446682
891,812944078891858,382226340483888
892,813555480486267,382791634777264
893,814177018532641,383804155111660
894,814718861680801,383024833144598
895,815296444293626,382596089369421
896,815960705378220,382149353950878
897,816481597805717,381090609544052
898,817061234410757,380825673544783
899,817690166829129,381794529839775
900,818300202519060,381032529700442
901,818887644294546,381124405954172
902,819437292613152,380266990667487
903,819976670970643,381565137346728
904,820626964908122,381876132081801
905,821214406683610,381429177376733
906,821795275683989,381279964657756
907,822426672893024,381846243751373
908,823020687443625,383790750670174
909,823586356901562,384408188920120
910,824171744684830,385253059743537
911,824807660676757,384477711712720
912,825337179871588,383958481141406
913,825962415103961,383150338118881
914,826580306806119,383247941718725
915,827089534185131,381997651459761
916,827649602955818,382401173942112
917,828275155438984,384732226167926
918,828889726181545,386089397300317
919,829457522843765,385276223791215
920,829995221402117,386415450369862
921,830647618140083,386788934082370
922,831279678321381,387513250674793
923,831818190341997,386651923565111
924,832427880310958,385879332385943
925,832979814458979,386993766895775
926,833548424583463,386786157792811
927,834191466505362,387305703183309
928,834773498757243,386531232521724
929,835304282886324,386210350702092
930,835917226704355,385688414610900
931,836505359923245,385220167204521
932,837075596972259,387018520789425
933,837678372511947,386502227339801
934,838263658612900,386288516117316
935,838870898126915,387353445473221
936,839432267630873,388666119520727
937,839979945195716,387634722252144
938,840567893169733,387863048782335
939,841194098032472,389563703876108
940,841703921412686,389148586003971
941,842290258570333,390859425882580
942,842878206544351,390860175369992
943,843444811201507,389311404190932
944,844020678052760,387726777717426
945,844578423219898,387220847118507
946,845200601041720,389840440161840
947,845739821820635,390832903539713
948,846343072550149,390875025320373
949,846934242156906,392898406304377
950,847491181915858,392734788023665
951,848061813613932,392487317564811
952,848681575211207,391492114460258
953,849197036448701,392548889940045
954,849782165494079,393767934069398
955,850366891835355,393551919181484
956,850895082110687,393224355382105
957,851507112587793,392487716831173
958,852074486769499,394899015209233
959,852657012194292,394798254381502
960,853202456945225,394548358331440
961,853834024551570,395769382445111
962,854365115493268,394895732729061
963,855011036908847,394876233318938
964,855554488075161,395836906448839
965,856040125287615,394819226063120
966,856656940367803,394380633080160
967,857253819601829,395170897814623
968,857849103968156,395886667485309
969,858412490980620,396967600279892
970,858966707503850,399289119528216
971,859564384171705,398958276360339
972,860087102058010,397666260879854
973,860677203104325,396801298876958
974,861232217061401,396590520392182
975,861811552750791,397201366184820
976,862388894855564,397782622583280
977,862970794571098,398807176652546
978,863526629647780,398362052156794
979,864133784724440,399147981612964
980,864684882570352,399644030320761
981,865228874570116,400567858467049
982,865826160416007,400629564682113
983,866438842261893,401487619854398
984,866942962569366,400853611521224
985,867490902261432,401812223474636
986,868097662568859,403710041586723
987,868649549953233,402197730289451
988,869191568106842,401951426296615
989,869776221337357,401633197122896
990,870375086260176,402339752099013
991,870931710875318,403545831595709
992,871475702875078,404583294666799
993,872052460720977,404962068749646
