day,staked_coins
1514,565570345576361
1515,566310542060261
1516,565075389575811
1517,563390519888186
1518,563740185683029
1519,563210880917411
1520,566234722741412
1521,568442237188450
1522,569327975218087
1523,569728320533858
1524,568676526354537
1525,566978828398788
1526,563160541107969
1527,563655517989280
1528,563127394169585
1529,564311602053956
1530,566103089925988
1531,566719193036487
1532,563870994649564
1533,564404042792939
1534,566378389923219
1535,566336214767699
1536,566279181158129
1537,566251046679789
1538,566883662572857
1539,567192143192751
1540,566784688168137
1541,565732930057830
1542,564546094780202
1543,563670129955162
1544,564858240156732
1545,564364521567756
1546,565860331909330
1547,565779982235417
1548,565590187217389
1549,565588618940900
1550,563336730091565
1551,561141076440944
1552,564671937846469
1553,566780838300548
1554,567445860114268
1555,567187708000183
1556,567684843956784
1557,565577874045979
1558,565698352591631
1559,564961097101984
1560,562429964371769
1561,562767185187514
1562,565613706433375
1563,566468966575757
1564,563255777801828
1565,566328169614947
1566,571618884582006
1567,575923209489720
1568,577473425416778
1569,579002898570599
1570,576943060806174
1571,575660381419140
1572,573627499894238
1573,571478554455338
1574,566790336430375
1575,564715384230808
1576,573082119746179
1577,577805844635563
1578,581670422812398
1579,585113027197847
1580,584737736044282
1581,582357443122436
1582,580262440941775
1583,578528923001308
1584,577669911906762
1585,575757444511029
1586,573371691953285
1587,574927439123943
1588,578497712184245
1589,578706072959719
1590,580072310525275
1591,578454770428621
1592,577611064774978
1593,577727680718775
1594,579650985267148
1595,579591256041485
1596,579180798185882
1597,578466919184280
1598,579183401233896
1599,578705655130787
1600,577113197311339
1601,575625789645166
1602,571845004982105
1603,572511164260895
