day,netfund_reward
2017-06-05,807.01599684
2017-06-06,654.13408439
2017-06-07,713.28184067
2017-06-08,728.82065789
2017-06-09,726.31439713
2017-06-10,714.28434494
2017-06-11,770.43947703
2017-06-12,709.19738112
2017-06-13,640.21317120
2017-06-14,668.50166016
2017-06-15,728.05637376
2017-06-16,786.61850880
2017-06-17,677.93115648
2017-06-18,677.93115648
2017-06-19,723.58977024
2017-06-20,677.43486720
2017-06-21,766.76693760
2017-06-22,610.93210368
2017-06-23,778.67788032
2017-06-24,745.92278784
2017-06-25,665.02763520
2017-06-26,698.77530624
2017-06-27,696.79014912
2017-06-28,719.61945600
2017-06-29,761.80404480
2017-06-30,778.67788032
2017-07-01,593.56197888
2017-07-02,662.54618880
2017-07-03,821.70763412
2017-07-04,680.06372513
2017-07-05,686.45160698
2017-07-06,740.50291459
2017-07-07,686.94298249
2017-07-08,712.00313418
2017-07-09,662.86558175
2017-07-10,713.47726058
2017-07-11,682.02922711
2017-07-12,683.99472922
2017-07-13,757.70105781
2017-07-14,615.69353151
2017-07-15,690.38261115
2017-07-16,749.34767400
2017-07-17,695.29636636
2017-07-18,718.39101598
2017-07-19,675.14996992
2017-07-20,661.88283075
2017-07-21,747.38217195
2017-07-22,688.90848458
2017-07-23,732.14953070
2017-07-24,721.07655375
2017-07-25,678.19552548
2017-07-26,714.19729656
2017-07-27,683.54714010
2017-07-28,701.54802564
2017-07-29,629.54448348
2017-07-30,742.90141134
2017-07-31,703.00755690
2017-08-01,652.89698364
2017-08-02,755.55068226
2017-08-03,674.30344212
2017-08-04,701.54802564
2017-08-05,739.00932798
2017-08-06,611.54359794
2017-08-07,723.44099454
2017-08-08,704.95359858
2017-08-09,755.55068226
2017-08-10,672.84391086
2017-08-11,680.62807758
2017-08-12,669.92484834
2017-08-13,686.95271304
2017-08-14,739.97753214
2017-08-15,678.22442826
2017-08-16,703.27248912
2017-08-17,593.44637472
2017-08-18,718.20498759
2017-08-19,696.04708723
2017-08-20,741.32627493
2017-08-21,617.04935551
2017-08-22,655.58483439
2017-08-23,772.63635148
2017-08-24,722.54022890
2017-08-25,608.86056626
2017-08-26,629.57338615
2017-08-27,778.41667330
2017-08-28,684.96813704
2017-08-29,767.33772315
2017-08-30,592.48298772
2017-08-31,719.65006804
2017-09-01,755.77707947
2017-09-02,622.34798388
2017-09-03,729.28393780
2017-09-04,718.47206510
2017-09-05,715.38636293
2017-09-06,578.03218128
2017-09-07,767.37110532
2017-09-08,634.78616603
2017-09-09,639.07848421
2017-09-10,698.21709024
2017-09-11,685.81705990
2017-09-12,731.12486290
2017-09-13,652.90928717
2017-09-14,661.49392356
2017-09-15,758.78646895
2017-09-16,643.84772662
2017-09-17,658.15545385
2017-09-18,646.70927208
2017-09-19,702.50940837
2017-09-20,744.00181746
2017-09-21,664.83239323
2017-09-22,607.60148426
2017-09-23,689.63245387
2017-09-24,776.90959013
2017-09-25,648.61696905
2017-09-26,687.33755134
2017-09-27,623.30693040
2017-09-28,700.27589226
2017-09-29,732.38564322
2017-09-30,578.91992172
2017-10-01,756.94015866
2017-10-02,651.16686138
2017-10-03,645.02823252
2017-10-04,702.63690336
2017-10-05,641.25061476
2017-10-06,714.91416108
2017-10-07,712.55314998
2017-10-08,624.72353706
2017-10-09,631.33436814
2017-10-10,680.44339902
2017-10-11,664.38852354
2017-10-12,728.60802546
2017-10-13,648.80585028
2017-10-14,657.77769246
2017-10-15,639.83400810
2017-10-16,687.05423010
2017-10-17,738.54764813
2017-10-18,659.68052645
2017-10-19,614.79793925
2017-10-20,708.30332925
2017-10-21,683.99192785
2017-10-22,649.39493355
2017-10-23,679.78418530
2017-10-24,647.52482575
2017-10-25,594.69428040
2017-10-26,702.69300585
2017-10-27,672.77128105
2017-10-28,703.62805975
2017-10-29,567.57771730
2017-10-30,603.57729245
2017-10-31,737.29000015
2017-11-01,666.69343070
2017-11-02,655.00525695
2017-11-03,570.85040595
2017-11-04,734.95236540
