Date,Open,High,Low,Close,Adj Close,Volume
2018-08-02,57.223202,59.357399,53.591099,53.591099,53.591099,2191790
2018-08-03,53.614300,56.131199,51.346199,55.039600,55.039600,2401740
2018-08-04,55.320801,55.616001,50.051701,50.328800,50.328800,1919250
2018-08-05,50.396599,51.445999,49.606098,49.843399,49.843399,1397620
2018-08-06,49.891399,51.510601,48.620998,49.737099,49.737099,1358750
2018-08-07,49.664299,50.950001,47.211601,47.347401,47.347401,1509520
2018-08-08,47.438099,47.438099,42.356499,45.225899,45.225899,1963460
2018-08-09,44.802502,47.796299,42.694801,47.265598,47.265598,1780160
2018-08-10,47.235401,47.235401,42.069199,42.467400,42.467400,1171430
2018-08-11,42.442600,43.813202,41.325699,42.815300,42.815300,1358100
2018-08-12,42.729301,42.918598,41.075901,41.258202,41.258202,975567
2018-08-13,41.216801,41.608101,38.614899,38.614899,38.614899,1313600
2018-08-14,38.571800,39.711300,32.594700,39.711300,39.711300,2528370
2018-08-15,39.572800,40.776199,36.671700,37.394100,37.394100,1760550
2018-08-16,37.202900,38.691101,36.765598,37.887299,37.887299,1090910
2018-08-17,37.727299,42.557899,37.727299,42.432400,42.432400,1534870
2018-08-18,42.302502,43.371498,37.683601,39.265499,39.265499,1655690
2018-08-19,39.357800,40.746399,38.340599,40.220100,40.220100,973823
2018-08-20,40.269600,40.848499,36.743500,36.946899,36.946899,1778690
2018-08-21,36.818600,38.298199,36.571602,37.890999,37.890999,2759490
2018-08-22,37.887299,39.673801,36.039700,36.423000,36.423000,1777910
2018-08-23,36.491001,37.381699,36.311798,37.283199,37.283199,7707900
2018-08-24,37.335800,41.074501,35.127800,40.813202,40.813202,7721500
2018-08-25,40.722401,41.008701,38.644402,39.982399,39.982399,7292340
2018-08-26,39.897598,39.921001,37.219299,38.327499,38.327499,6506580
2018-08-27,38.237900,40.285999,37.660099,40.285999,40.285999,3056870
2018-08-28,40.409302,41.871399,40.103699,41.213402,41.213402,1754090
2018-08-29,41.243500,44.010502,40.535599,41.618999,41.618999,1513560
2018-08-30,41.672798,43.840500,39.819302,42.387100,42.387100,3479080
2018-08-31,42.441700,42.804199,41.587601,42.749901,42.749901,952497
2018-09-01,42.718102,45.225498,42.525101,44.700500,44.700500,2698010
2018-09-02,44.730499,44.864300,42.411598,44.299301,44.299301,1862140
2018-09-03,44.451698,44.550098,42.743599,42.774101,42.774101,1480470
2018-09-04,42.950901,43.706501,42.542301,43.116600,43.116600,2667040
2018-09-05,43.095699,43.635899,37.236599,37.236599,37.236599,2332860
2018-09-06,37.810200,37.827400,34.972000,37.430099,37.430099,1373210
2018-09-07,37.429298,40.738998,36.376900,38.232601,38.232601,8871780
2018-09-08,38.236599,39.490898,34.989799,35.329601,35.329601,849435
2018-09-09,35.324100,38.343899,35.324100,37.140099,37.140099,775473
2018-09-10,37.292599,37.727299,35.547100,36.479599,36.479599,526136
2018-09-11,36.476002,37.756001,34.363899,35.829102,35.829102,846255
2018-09-12,35.870998,35.933998,34.161701,34.748299,34.748299,732954
2018-09-13,34.771702,37.428699,34.658100,37.220699,37.220699,1281160
2018-09-14,37.204102,41.087601,36.568100,38.376900,38.376900,14013400
2018-09-15,38.146000,38.872898,37.143101,38.625000,38.625000,631838
2018-09-16,38.584900,38.584900,37.339600,37.941200,37.941200,338406
2018-09-17,37.927399,38.003201,36.244999,36.285500,36.285500,982002
2018-09-18,36.335899,37.324001,35.462502,36.287102,36.287102,756664
2018-09-19,36.309299,36.835602,35.513401,36.352100,36.352100,834800
2018-09-20,36.363800,37.210899,35.893200,36.748901,36.748901,648159
2018-09-21,36.768700,38.615002,36.323898,38.414700,38.414700,1349850
2018-09-22,38.526600,38.849998,36.674801,37.910301,37.910301,732990
2018-09-23,38.046799,38.924400,37.604301,38.816799,38.816799,816181
2018-09-24,38.929199,39.182598,37.445202,37.849800,37.849800,736025
2018-09-25,37.797100,37.797100,36.120602,36.945000,36.945000,738268
2018-09-26,36.905201,37.374599,35.948898,37.039700,37.039700,985738
2018-09-27,37.099300,38.970402,36.873001,38.690300,38.690300,1016760
2018-09-28,38.697701,39.634800,38.410801,38.802601,38.802601,1183200
2018-09-29,38.748501,39.212101,37.961899,39.070801,39.070801,3437790
2018-09-30,39.093399,39.898899,38.253300,39.226601,39.226601,2769030
2018-10-01,39.194401,39.835201,38.185600,38.619900,38.619900,732532
2018-10-02,38.510601,39.068199,38.173698,38.860699,38.860699,1325290
2018-10-03,38.922001,39.048199,37.782101,38.643600,38.643600,710528
2018-10-04,38.513302,41.340401,38.344299,41.184601,41.184601,1886200
2018-10-05,41.292801,42.368000,40.955399,41.998100,41.998100,1195760
2018-10-06,42.023701,42.189098,40.347401,40.718300,40.718300,648012
2018-10-07,40.838902,41.195999,39.685398,40.048100,40.048100,240057
2018-10-08,40.132301,44.507198,40.036301,44.116501,44.116501,1697510
2018-10-09,44.186100,45.865799,40.256001,41.097801,41.097801,5053600
2018-10-10,40.971401,41.990898,39.954102,41.422699,41.422699,1643250
2018-10-11,41.347500,41.347500,36.494999,36.820000,36.820000,10183500
2018-10-12,36.705601,38.398701,36.014500,36.248600,36.248600,2092390
2018-10-13,36.230701,38.284302,35.969398,38.126999,38.126999,512276
2018-10-14,37.874298,38.602299,37.181099,37.385399,37.385399,249550
2018-10-15,37.403198,41.485298,37.106899,39.917301,39.917301,1171760
2018-10-16,39.593201,41.701000,38.915901,40.376701,40.376701,2919280
2018-10-17,39.723301,39.972000,39.178902,39.715000,39.715000,2452460
2018-10-18,39.744499,39.744499,38.329498,38.948601,38.948601,677340
2018-10-19,39.010201,39.017399,38.033001,38.350700,38.350700,531417
2018-10-20,38.309799,38.628101,37.910900,38.555901,38.555901,944029
2018-10-21,38.665001,38.916801,38.030701,38.256901,38.256901,789027
2018-10-22,38.246799,39.336899,37.933998,38.579102,38.579102,619066
2018-10-23,38.623299,54.033699,38.623299,51.418598,51.418598,23247300
2018-10-24,51.384300,52.844601,45.274200,47.718899,47.718899,16827400
2018-10-25,47.307701,47.307701,43.120300,43.434799,43.434799,5256520
2018-10-26,43.465801,44.433498,42.934601,43.557598,43.557598,2164890
2018-10-27,43.353401,43.891300,42.791901,42.791901,42.791901,2237440
2018-10-28,42.923599,47.035198,41.531601,44.344398,44.344398,5383180
2018-10-29,44.102001,44.178001,39.673302,39.959599,39.959599,3869670
2018-10-30,39.934399,41.239498,39.637199,39.898701,39.898701,2190700
2018-10-31,40.075298,40.238400,39.329300,39.770699,39.770699,1978030
2018-11-01,39.751202,41.333302,39.578300,40.243698,40.243698,1066090
2018-11-02,40.410599,42.204800,40.276901,42.099602,42.099602,1252530
2018-11-03,42.085701,42.109001,40.232201,40.515400,40.515400,1424970
2018-11-04,40.337700,40.418999,38.942600,40.303501,40.303501,1631150
2018-11-05,40.255901,40.572498,39.072800,39.422298,39.422298,1477140
2018-11-06,39.523800,41.008801,39.361900,41.008801,41.008801,1704680
2018-11-07,41.030899,41.806499,40.675400,40.917000,40.917000,1212210
2018-11-08,40.796001,40.937500,39.024101,39.024101,39.024101,1199560
