day,avg_block_voters,avg_block_poolsize,avg_block_difficulty,avg_hashrate
2016-09-26,5,42189,889647.92662523,12736.69583270
2016-09-27,5,42319,925397.41216747,13248.50540354
2016-09-28,5,41901,898864.98737921,12868.65241438
2016-09-29,5,42748,881219.60980269,12616.03134899
2016-09-30,5,42426,950296.81533450,13604.97914452
2016-10-01,5,43032,1000928.81523047,14329.85509013
2016-10-02,5,42348,950790.51630545,13612.04724293
2016-10-03,5,42228,932329.45334291,13347.74837068
2016-10-04,5,43072,878935.33634353,12583.32841631
2016-10-05,5,42529,845852.09503382,12109.69028474
2016-10-06,5,42204,868950.23203497,12440.37609481
2016-10-07,5,41884,955970.96354046,13686.21341444
2016-10-08,5,42831,897150.33475899,12844.10449128
2016-10-09,5,42179,1010640.12442825,14468.88760815
2016-10-10,5,42924,942887.80514539,13498.90762299
2016-10-11,5,42394,918937.07260369,13156.01557972
2016-10-12,5,42858,925284.43024586,13246.88789135
2016-10-13,5,42189,1000381.87943641,14322.02485230
2016-10-14,5,43130,923605.98923445,13222.85839384
2016-10-15,5,42588,927313.11043856,13275.93160829
2016-10-16,5,42170,961862.65695436,13770.56218288
2016-10-17,5,42312,986320.16309329,14120.70947957
2016-10-18,5,42125,965752.44114168,13826.25050245
2016-10-19,5,42682,1082448.39983585,15496.93492301
2016-10-20,5,42236,1107366.37868443,15853.67460380
2016-10-21,5,42057,1012921.98471749,14501.55599254
2016-10-22,5,43114,1111203.26874704,15908.60566159
2016-10-23,5,42332,1058094.58314134,15148.27210222
2016-10-24,5,42279,969166.12149358,13875.12265402
2016-10-25,5,42029,966834.70147232,13841.74474487
2016-10-26,5,42709,970698.03252647,13897.05434664
2016-10-27,5,42446,1147668.66766400,16430.66464754
2016-10-28,5,42841,1071988.12678599,15347.17982082
2016-10-29,5,42373,982647.65757350,14068.13184256
2016-10-30,5,43212,968785.84863556,13869.67845572
2016-10-31,5,42198,906098.57696151,12972.21251667
2016-11-01,5,42557,878157.29592562,12572.18955581
2016-11-02,5,42036,837367.74294156,11988.22356886
2016-11-03,5,41933,821342.33177122,11758.79484593
2016-11-04,5,41994,750297.08191766,10741.67143040
