day,sum_pos_reward
2018-04-27,7079.04410230
2018-04-28,6078.74439222
2018-04-29,6219.81230009
2018-04-30,5634.16674332
2018-05-01,6301.03321668
2018-05-02,6305.30800183
2018-05-03,6407.90284385
2018-05-04,5711.11287486
2018-05-05,6702.86301480
2018-05-06,6057.37046683
2018-05-07,6497.67333070
2018-05-08,5817.98250199
2018-05-09,6215.53751502
2018-05-10,7032.02146643
2018-05-11,6078.74439228
2018-05-12,5676.91459414
2018-05-13,6369.42977810
2018-05-14,6407.90284389
2018-05-15,6112.94267294
2018-05-16,6369.42977808
2018-05-17,6430.14442395
2018-05-18,6132.83523838
2018-05-19,6082.04571259
2018-05-20,6060.88341013
2018-05-21,5853.49284656
2018-05-22,5675.72950631
2018-05-23,7000.48963718
2018-05-24,6268.27397373
2018-05-25,6331.76088101
2018-05-26,6018.55880534
2018-05-27,6086.27817303
2018-05-28,6467.19961640
2018-05-29,6209.01952702
2018-05-30,5823.86562316
2018-05-31,6153.99754074
2018-06-01,6251.34413185
2018-06-02,6835.42367836
2018-06-03,5806.93578120
2018-06-04,6158.23000123
2018-06-05,5565.68553383
2018-06-06,6403.71270918
2018-06-07,6071.50646933
2018-06-08,6604.31458224
2018-06-09,6051.16133042
2018-06-10,5753.63192981
2018-06-11,5984.11245140
2018-06-12,6524.69403831
2018-06-13,5866.77691302
2018-06-14,5954.77856687
2018-06-15,6063.73299525
2018-06-16,6231.35519277
2018-06-17,6671.36346122
2018-06-18,4894.56816752
2018-06-19,6554.02792298
2018-06-20,6046.97077551
2018-06-21,5875.15802300
2018-06-22,6805.46121926
2018-06-23,5816.49025388
2018-06-24,5359.71976563
2018-06-25,6235.54574770
2018-06-26,6294.21351678
2018-06-27,6713.26901058
2018-06-28,5398.74171202
2018-06-29,6572.11782900
2018-06-30,5343.99480034
2018-07-01,5854.32970753
2018-07-02,6269.23613611
2018-07-03,5667.62181464
2018-07-04,6476.68935039
2018-07-05,5796.24280751
2018-07-06,5904.11847897
2018-07-07,6252.63987897
2018-07-08,5252.71538604
2018-07-09,6368.81367899
2018-07-10,5846.03157895
2018-07-11,5841.88251462
2018-07-12,6028.59040751
2018-07-13,6119.86982181
2018-07-14,6269.23613613
2018-07-15,5924.86380038
2018-07-16,5497.51017891
2018-07-17,6335.62116465
2018-07-18,5568.04427174
2018-07-19,6114.01594409
2018-07-20,6215.38046374
2018-07-21,5418.43148160
2018-07-22,5775.82612825
2018-07-23,6642.61084594
2018-07-24,5208.92427497
2018-07-25,5796.36605040
2018-07-26,6289.32418372
2018-07-27,6100.35689931
2018-07-28,5874.41775486
2018-07-29,5496.48318606
2018-07-30,5393.78357491
2018-07-31,6502.93937479
2018-08-01,5874.41775488
2018-08-02,5808.69000379
2018-08-03,6313.97209035
2018-08-04,5940.14550601
2018-08-05,5656.69457937
2018-08-06,5853.87783268
2018-08-07,6359.15991927
2018-08-08,5295.19194831
2018-08-09,6252.35232373
2018-08-10,6178.91702158
2018-08-11,5092.27379012
2018-08-12,5600.68770687
2018-08-13,6255.52483166
2018-08-14,6145.70742561
2018-08-15,5677.96662220
2018-08-16,5376.98558352
2018-08-17,6523.96737966
