day,sum_total_reward,sum_reward
2017-06-05,8070.15999158,5468419.21503007
2017-06-06,6541.34086273,5474960.55589280
2017-06-07,7132.81842731,5482093.37432011
2017-06-08,7288.20660084,5489381.58092095
2017-06-09,7263.14399237,5496644.72491332
2017-06-10,7142.84347063,5503787.56838395
2017-06-11,7704.45434628,5511492.02273023
2017-06-12,7091.97381682,5518583.99654705
2017-06-13,6402.13171708,5524986.12826413
2017-06-14,6685.01660688,5531671.14487101
2017-06-15,7280.56374337,5538951.70861438
2017-06-16,7866.18509429,5546817.89370867
2017-06-17,6779.31157018,5553597.20527885
2017-06-18,6779.31157019,5560376.51684904
2017-06-19,7235.89770815,5567612.41455719
2017-06-20,6774.34867737,5574386.76323456
2017-06-21,7667.66938205,5582054.43261661
2017-06-22,6109.32104160,5588163.75365821
2017-06-23,7786.77880940,5595950.53246761
2017-06-24,7459.22788434,5603409.76035195
2017-06-25,6650.27635729,5610060.03670924
2017-06-26,6987.75306795,5617047.78977719
2017-06-27,6967.90149679,5624015.69127398
2017-06-28,7196.19456574,5631211.88583972
2017-06-29,7618.04045409,5638829.92629381
2017-06-30,7786.77880938,5646616.70510319
2017-07-01,5935.61979353,5652552.32489672
2017-07-02,6625.46189324,5659177.78678996
2017-07-03,8217.15005679,5667394.93684675
2017-07-04,6800.63726026,5674195.57410701
2017-07-05,6864.51607855,5681060.09018556
2017-07-06,7405.02915554,5688465.11934110
2017-07-07,6869.42983376,5695334.54917486
2017-07-08,7120.03135122,5702454.58052608
2017-07-09,6628.65582655,5709083.23635263
2017-07-10,7134.77261655,5716218.00896918
2017-07-11,6820.29228097,5723038.30125015
2017-07-12,6839.94730199,5729878.24855214
2017-07-13,7577.01058886,5737455.25914100
2017-07-14,6156.93532309,5743612.19446409
2017-07-15,6903.82612046,5750516.02058455
2017-07-16,7493.47674991,5758009.49733446
2017-07-17,6952.96367285,5764962.46100731
2017-07-18,7183.91016940,5772146.37117671
2017-07-19,6751.49970787,5778897.87088458
2017-07-20,6618.82831618,5785516.69920076
2017-07-21,7473.82172903,5792990.52092979
2017-07-22,6889.08485473,5799879.60578452
2017-07-23,7321.49531640,5807201.10110092
2017-07-24,7210.83852291,5814411.93962383
2017-07-25,6781.95526314,5821193.89488697
2017-07-26,7141.97297434,5828335.86786131
2017-07-27,6835.47140941,5835171.33927072
2017-07-28,7015.48026500,5842186.81953572
2017-07-29,6295.44484254,5848482.26437826
2017-07-30,7429.01412253,5855911.27850079
2017-07-31,7030.07557763,5862941.35407842
2017-08-01,6528.96984442,5869470.32392284
2017-08-02,7555.50683187,5877025.83075471
