day,block_count
2018-10-13,283
2018-10-14,309
2018-10-15,282
2018-10-16,277
2018-10-17,306
2018-10-18,313
2018-10-19,257
2018-10-20,281
2018-10-21,310
2018-10-22,282
2018-10-23,277
2018-10-24,298
2018-10-25,304
2018-10-26,284
2018-10-27,279
2018-10-28,296
2018-10-29,281
2018-10-30,297
2018-10-31,290
2018-11-01,269
2018-11-02,297
2018-11-03,310
2018-11-04,267
2018-11-05,273
2018-11-06,289
2018-11-07,330
2018-11-08,288
2018-11-09,245
2018-11-10,269
2018-11-11,330
2018-11-12,275
2018-11-13,296
2018-11-14,283
2018-11-15,290
2018-11-16,323
2018-11-17,257
2018-11-18,310
2018-11-19,256
2018-11-20,309
2018-11-21,277
2018-11-22,277
2018-11-23,280
2018-11-24,285
2018-11-25,305
2018-11-26,296
2018-11-27,237
2018-11-28,286
2018-11-29,327
2018-11-30,305
2018-12-01,276
2018-12-02,298
2018-12-03,264
2018-12-04,275
2018-12-05,299
2018-12-06,299
2018-12-07,293
2018-12-08,318
2018-12-09,243
2018-12-10,282
2018-12-11,296
2018-12-12,289
2018-12-13,258
2018-12-14,303
2018-12-15,294
2018-12-16,273
2018-12-17,289
2018-12-18,312
2018-12-19,288
2018-12-20,285
2018-12-21,265
2018-12-22,283
2018-12-23,313
2018-12-24,277
2018-12-25,270
2018-12-26,301
2018-12-27,300
2018-12-28,291
2018-12-29,236
2018-12-30,347
2018-12-31,299
2019-01-01,312
2019-01-02,236
2019-01-03,313
2019-01-04,284
2019-01-05,291
2019-01-06,309
2019-01-07,260
2019-01-08,300
2019-01-09,318
2019-01-10,239
2019-01-11,283
2019-01-12,294
2019-01-13,305
2019-01-14,288
2019-01-15,287
2019-01-16,277
2019-01-17,323
2019-01-18,236
2019-01-19,324
2019-01-20,322
2019-01-21,269
2019-01-22,295
2019-01-23,279
2019-01-24,291
2019-01-25,313
2019-01-26,243
2019-01-27,296
2019-01-28,284
2019-01-29,282
2019-01-30,316
2019-01-31,279
2019-02-01,268
2019-02-02,314
2019-02-03,306
2019-02-04,278
2019-02-05,264
2019-02-06,294
2019-02-07,305
2019-02-08,296
2019-02-09,288
2019-02-10,304
2019-02-11,311
2019-02-12,255
2019-02-13,279
