day,sum_fees,difficulty,count_tx
2019-02-24,1.0445407100000001,25784467285.864956,3443
2019-02-25,1.32247063,23555898725.957977,3212
2019-02-26,1.10647261,22489613820.928772,2883
2019-02-27,0.9489666899999999,19850008626.83501,2982
2019-02-28,1.0567384199999998,16979960450.78901,5241
2019-03-01,1.1874464500000002,20270108732.557777,3858
2019-03-02,0.91775461,22287347016.79956,3656
2019-03-03,1.2134205900000001,21354247688.626846,3628
2019-03-04,1.52977245,21403336357.76202,4076
2019-03-05,1.15443272,20769336700.870525,3853
2019-03-06,0.9320942699999999,21588731317.71706,3677
2019-03-07,1.03233099,20472974775.67201,4302
2019-03-08,0.9590406400000001,21138282013.039722,4054
2019-03-09,0.8341179299999999,23131524835.73708,3680
2019-03-10,0.77859124,23199320277.44882,3500
2019-03-11,0.94024431,19932221240.620598,3579
2019-03-12,1.59667426,18459006629.600716,3979
2019-03-13,1.0779575,20279517563.884182,3496
2019-03-14,0.9808236899999999,21698031550.419746,3934
2019-03-15,0.84401949,24269591184.519665,3498
2019-03-16,0.8746069,23064426664.10862,4219
2019-03-17,1.0597328199999998,21259342329.496346,3883
2019-03-18,0.86696073,22550413256.09683,3849
2019-03-19,3.19977057,23179296730.353687,4085
2019-03-20,0.83836944,23011563176.242153,4101
2019-03-21,0.99154558,24112681361.57868,4097
2019-03-22,0.71729542,29536991968.14751,3206
2019-03-23,0.68081454,29280840933.599514,2990
2019-03-24,0.7251884500000001,27905268993.987366,3099
2019-03-25,0.9529048600000001,27705912666.949024,5148
2019-03-26,1.0266135,29519106328.431683,4440
2019-03-27,0.89311099,30248594038.413284,3711
2019-03-28,0.97474217,31528432137.589725,4199
2019-03-29,0.68299182,33271682601.681423,3340
2019-03-30,0.7249363600000001,29885551827.021374,3472
2019-03-31,0.8588406700000001,28434319438.04364,4012
2019-04-01,0.83605907,27683573185.602417,3883
2019-04-02,1.05725691,26058314114.67348,3937
2019-04-03,1.26674804,28381105137.61024,3976
2019-04-04,0.9887925899999999,28806534072.03448,3292
2019-04-05,0.94185441,26462629610.51471,2950
2019-04-06,1.0077436899999999,25707859275.205456,3941
2019-04-07,0.81931551,29655036823.735165,3605
2019-04-08,1.23705635,27349634594.484394,6233
2019-04-09,0.9038843900000001,25331439297.57626,4214
2019-04-10,0.84688972,29574005765.448517,3961
2019-04-11,0.93256396,32060974547.630184,3338
2019-04-12,0.86572133,30776122596.123783,3007
2019-04-13,0.6241447,32909638161.873386,3293
2019-04-14,0.84448419,33109309949.751648,3271
2019-04-15,0.8980376299999999,31656838286.916912,3446
2019-04-16,0.85087768,31297266832.51025,7098
2019-04-17,0.55713921,31641978388.959145,2777
2019-04-18,0.7738615600000001,26651553195.10249,3357
2019-04-19,0.77606783,23643023571.306866,4361
2019-04-20,2.36819593,30372418453.978195,3652
2019-04-21,0.64999762,34165206970.601654,3209
2019-04-22,0.84043456,33023965095.823925,3526
2019-04-23,0.8156746699999999,31145207309.583954,3526
2019-04-24,1.0223876,30019439790.65003,3683
2019-04-25,1.42748546,32438159510.08902,3899
2019-04-26,0.71958112,35961973769.311005,4111
2019-04-27,0.7230462099999999,35871845005.228935,3818
2019-04-28,0.7572209999999999,35062374423.562904,4018
2019-04-29,0.8835308000000001,32913117552.75174,3608
2019-04-30,0.76140705,34932925103.6821,4065
2019-05-01,0.6919782,36789250254.554436,3238
2019-05-02,0.8363786900000001,33684064255.27757,3792
2019-05-03,0.6746819900000001,32032907112.65152,3840
2019-05-04,0.64788346,35323257762.391525,3631
2019-05-05,0.6841064299999999,35464374113.99851,3763
2019-05-06,0.75883732,35056734352.24231,3954
2019-05-07,0.55437701,34691384523.003136,3247
2019-05-08,0.69506326,32284127428.87946,3676
2019-05-09,0.6166707,32372972110.451298,3856
2019-05-10,0.47922897,36684178796.57269,3432
2019-05-11,0.4823756,34420116211.45468,3212
2019-05-12,0.67703113,33185832656.786457,3869
2019-05-13,0.5092552300000001,33785720680.154648,3892
2019-05-14,0.80281892,32533450260.268375,3996
2019-05-15,0.8044602,29411920023.91658,3823
2019-05-16,0.67500023,28103249666.167683,3944
2019-05-17,0.79787611,30663227881.297886,4095
2019-05-18,0.49302929,32084568196.92931,3407
2019-05-19,0.71983576,30560595067.377888,3781
2019-05-20,0.67142632,28242309344.46988,4136
2019-05-21,0.56470054,28500203789.579487,3820
2019-05-22,0.52727447,30657796801.275547,3774
2019-05-23,0.53292783,31554737567.993694,3529
2019-05-24,2.04077274,31575616274.072376,3620
2019-05-25,0.5026461799999999,31536094181.818897,3460
2019-05-26,0.4830818,34805089540.36998,3730
2019-05-27,0.64102237,36096037976.37057,3709
2019-05-28,0.56396694,32358559696.32072,4122
2019-05-29,0.47995078,31598369963.088013,4028
2019-05-30,0.63886007,34629702359.535286,4182
2019-05-31,0.69406865,32980632695.510647,3690
2019-06-01,0.46953786000000003,32666782007.59905,3573
2019-06-02,0.44433704,35644291240.35424,3383
2019-06-03,0.48865851,36041058338.8917,3323
2019-06-04,0.51502963,34168952230.77434,3369
2019-06-05,1.0211215299999998,32516253473.220047,3439
2019-06-06,0.46231877,32152509478.726116,3984
2019-06-07,0.5792214099999999,34781482570.983925,3721
2019-06-08,0.39658574,33762458898.812057,3388
2019-06-09,0.60504743,31398850875.328873,3909
2019-06-10,0.5288712799999999,32775873614.738827,4228
2019-06-11,0.5079824,32263662984.33478,3548
2019-06-12,0.53212467,30117067756.0943,3888
2019-06-13,0.51820559,31989036285.44333,3478
2019-06-14,0.66764099,30505324484.351543,3580
2019-06-15,0.5935578,30856883155.790646,3956
2019-06-16,0.6025628,33834589435.521343,3636
2019-06-17,1.65883725,33559741562.247467,4062
2019-06-18,0.7020495200000001,33476339257.61204,3977
2019-06-19,0.5214817199999999,33503551526.665775,3837
2019-06-20,0.55304431,34178038196.334198,3496
2019-06-21,0.62902141,32125608807.34621,3365
2019-06-22,0.6739419999999999,28847528468.479713,3743
2019-06-23,0.6712819,29820056825.52798,4177
2019-06-24,0.77563853,32969012456.69115,4182
2019-06-25,0.62743043,33899567356.199036,3655
2019-06-26,0.85808269,31386327637.500076,4028
2019-06-27,0.74089959,30992589203.21096,4370
2019-06-28,0.40018592,34376442331.31588,3319
2019-06-29,0.60172052,33752711411.224087,3882
2019-06-30,0.5911621,34393948076.870026,4152
2019-07-01,0.49644419000000006,35426834025.11669,4104
2019-07-02,0.6300839,35464795048.78226,3837
2019-07-03,0.6224206,33731283304.44417,3878
2019-07-04,0.9216181700000001,33702668429.613064,3954
2019-07-05,0.29256708,36016929707.24634,2656
2019-07-06,0.32665026999999996,31825548424.20552,3455
2019-07-07,0.33240758,31759188524.617603,3564
2019-07-08,0.52968194,34207594151.109547,4048
2019-07-09,0.41343795,35280010096.28863,3469
2019-07-10,0.48174271,32397889581.582092,3653
2019-07-11,0.39515465000000005,34578990602.916466,3776
2019-07-12,0.36787115000000004,36797132984.97169,3303
2019-07-13,0.2695612,35695150557.30181,3389
2019-07-14,0.35832929,36095719492.821266,3493
2019-07-15,0.37569401,35917099092.377174,4012
2019-07-16,0.45984911,35790003814.97728,3742
2019-07-17,0.38111176,34264249892.67897,3558
2019-07-18,0.42916354,34898644028.27387,3767
2019-07-19,1.71584836,36560565452.61959,3752
2019-07-20,0.33817175,35991109945.28498,3161
2019-07-21,0.31791533,36626734894.29999,3480
2019-07-22,0.32290206,36220839952.60961,3615
2019-07-23,0.39385865,39217248874.87012,3925
2019-07-24,0.59027644,41444115485.43783,3458
2019-07-25,0.33028774,39413047778.01339,3363
2019-07-26,0.29715128999999996,34973149162.07863,3266
2019-07-27,0.36460101,32641298234.39444,3681
2019-07-28,0.31600918,36204289594.865486,3362
2019-07-29,0.29818344,38081054468.49552,3737
2019-07-30,1.06322143,36141784272.17155,3519
2019-07-31,0.38330392999999996,34518793501.813835,3968
2019-08-01,0.33710408000000003,34432625553.36775,3693
2019-08-02,0.5110464699999999,33159451426.728638,3832
2019-08-03,0.34274271,36675436371.787895,3408
2019-08-04,0.26413137999999997,37944771517.638535,3201
2019-08-05,0.44025988,35035022356.6914,4075
2019-08-06,0.58725435,36298067698.29542,3724
2019-08-07,0.46760704999999997,34909047935.09943,3055
2019-08-08,0.6221106999999999,31663371249.35536,3720
2019-08-09,0.43051368,31475728615.492188,3317
2019-08-10,0.39568639,30690557360.047344,3282
2019-08-11,0.45444282,30943581834.6705,3415
2019-08-12,0.36710101,31017715962.85097,3799
2019-08-13,0.44055857,30311162059.733704,4273
2019-08-14,0.45396582,30866073030.272934,3541
2019-08-15,0.71985714,31923211142.06415,3699
2019-08-16,0.4542776700000001,37016731980.667885,3789
2019-08-17,0.4893629,38042677032.938286,3172
2019-08-18,0.26743099000000004,36879540391.31404,3112
2019-08-19,0.33027309,35306332673.865326,3192
2019-08-20,0.40120910000000004,35555806193.41266,3957
2019-08-21,0.32979184,37160376791.32123,3236
2019-08-22,0.37505257,35074827710.27294,3409
2019-08-23,0.39529564999999994,33685227510.100357,3950
2019-08-24,0.4698059,37581676221.3901,3580
2019-08-25,0.34543996,39684160302.1026,3726
2019-08-26,0.29198533,39276277373.28415,3607
2019-08-27,1.7804267200000001,37043084884.420525,3386
2019-08-28,0.45449822000000006,34804800563.37548,3915
2019-08-29,0.9008255,37050851806.04218,3896
2019-08-30,0.84041431,36116992235.35127,3630
2019-08-31,0.51275134,36021775823.04315,3418
2019-09-01,0.63182636,39608200164.48313,3359
2019-09-02,0.49868087000000005,39105614983.04781,3548
2019-09-03,0.6622582,37423461377.37116,3650
2019-09-04,0.6052829,37598722655.73504,3940
2019-09-05,0.47878294,39735714326.53267,3431
2019-09-06,0.65155496,36394801529.44938,4050
2019-09-07,0.58855963,37525349522.221504,3583
2019-09-08,0.65322937,38402135728.924805,3532
2019-09-09,0.6458472,35321195142.76285,3777
2019-09-10,0.62364295,37798879175.1225,3909
2019-09-11,0.57949829,38848674888.20113,3569
2019-09-12,0.54784352,37810983130.91089,3837
2019-09-13,0.6611674599999999,35973801574.44837,3371
2019-09-14,0.43013717000000007,34796942613.519424,3317
2019-09-15,0.28816871999999993,37459376322.82061,3170
2019-09-16,0.65546778,37634809697.85462,4213
2019-09-17,0.50286916,39857404586.48304,3758
2019-09-18,0.48947017,41655788658.5311,3352
2019-09-19,1.19095109,38621580226.52689,4376
2019-09-20,0.66714191,37561122813.36775,3483
2019-09-21,0.5750433699999999,34269694662.057915,3815
2019-09-22,0.540286,37859184810.19493,3455
2019-09-23,0.6407414,39562725061.33564,3451
2019-09-24,0.68728484,36780397119.998856,3674
2019-09-25,0.56390103,37275435939.01979,3487
2019-09-26,1.01859568,35200361924.09446,3908
2019-09-27,0.6904421700000001,34131692410.872646,3649
2019-09-28,0.6103719599999999,35010004502.179375,3708
2019-09-29,0.58643594,36507488731.96804,4048
